Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
2772,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"05/04/2020 12:36:59 pm",A-00525,"Ennis - Baltimore"
2772,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"05/04/2020 12:36:59 pm",A-00525,"Ennis - Baltimore"
2773,E10WH-FULLW,E,"#10 FULL WINDOW WHITE",160000,Each,,"0000-00-00 00:00:00",,,,0.0247,0.000000,24.000000,#10,WHITE,FULL,,"Letter, Print Other","0000-00-00 00:00:00",,"05/04/2020 3:42:21 pm",A-00518,"Double Envelope Company"
2778,E69WH-2W-SC-BOX,E,"6X9 WH D/W STD 1935 BOX ",88000,Each,,"0000-00-00 00:00:00",,,,0.03665,0.000000,0.000000,6X9,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"05/05/2020 1:35:22 pm",A-00500,"Envelopes & Forms"
2779,P1218-100WHGL-T,P,"WHITE 100# GL TEXT 12X18",5000,Each,,"0000-00-00 00:00:00",,,,0.03224,0.000000,0.000000,12X18,WHITE,,,"Letter, Self Mailer, Print Other","0000-00-00 00:00:00",,"05/05/2020 1:35:54 pm",A-00548,"Veritiv - Baltimore"
2789,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",255000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"05/05/2020 8:35:28 pm",A-00531,"Ennis - Baltimore"
2792,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",255000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"05/14/2020 8:03:43 pm",A-00531,"Ennis - Baltimore"
2792,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"05/14/2020 8:03:43 pm",A-00531,"Ennis - Baltimore"
2808,E9WH-0W,E,"#9 REG WH BLANK",90000,Each,,"0000-00-00 00:00:00",,,,0.01379,0.000000,0.000000,#9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"05/12/2020 12:56:49 pm",A-00560,"Veritiv - Baltimore"
2809,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"05/13/2020 3:43:34 pm",A-00526,"Ennis - Baltimore"
2809,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"05/13/2020 3:43:34 pm",A-00526,"Ennis - Baltimore"
2818,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"05/14/2020 8:03:16 pm",A-00526,"Ennis - Baltimore"
2818,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"05/14/2020 8:03:16 pm",A-00526,"Ennis - Baltimore"
2821,P8511-20GR,P,"GREEN 20# 8.5X11",10000,Each,,"0000-00-00 00:00:00",,,,0.01089,0.000000,0.000000,8.5X11,GREEN,,,"Letter, Print Other","0000-00-00 00:00:00",,"05/15/2020 7:31:06 pm",A-00566,"Veritiv - Baltimore"
2821,P8511-20CA,P,"CANARY 20# 8.5X11",10000,Each,,"0000-00-00 00:00:00",,,,0.01089,0.000000,0.000000,8.5X11,CANARY,,,"Letter, Print Other","0000-00-00 00:00:00",,"05/15/2020 7:31:06 pm",A-00566,"Veritiv - Baltimore"
2827,E10BK-1W-SC-BOX,E,"#10 S/W BK STD BOX",240000,Each,,"0000-00-00 00:00:00",,,,0.01773,0.000000,0.000000,#10,"BROWN KRAFT",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"05/19/2020 12:29:26 pm",A-00544,"Double Envelope Company"
