Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
1930,E10WH-1W,E,"#10 S/W WH BLANK",270000,Each,,"0000-00-00 00:00:00",,,,0.01595,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other ","0000-00-00 00:00:00",,"11/25/2019 11:10:28 am",A-00223,"Southland Envelopes - Sacramento "
1932,E9WH-0W-BRM-CW7-AIM-AULTIUM,E,"#9 WHITE REG BUSINESS REPLY MAIL - CW7-AIM-AULTIUM",51000,Each,,"0000-00-00 00:00:00",,,,0.0045,0.000000,0.000000,#9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/19/2019 3:28:21 pm",A-00158,"Cathy Welsh Envelopes"
1933,E10WH-1W-PBM,E,"#10 WHITE S/W PEOPLES BANK MORTGAGE",50000,Each,,"0000-00-00 00:00:00",25,,1,0.0035,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"12/19/2019 2:48:54 pm",A-00216,"Cathy Welsh Envelopes"
1935,E10WH-1W,E,"#10 S/W WH BLANK",32000,Each,,"0000-00-00 00:00:00",,,,0.0183,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other ","0000-00-00 00:00:00",,"11/20/2019 3:52:47 pm",A-00227,"Kelly Paper - Sacramento"
1936,E10WH-1W-SC-BOX,E,"#10 S/W WH STD BOX ",160000,Each,,"0000-00-00 00:00:00",80,,2,0.01594,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"12/18/2019 8:16:05 am",A-00215,"Kelly Paper - Sacramento"
1936,E10WH-2W,E,"#10 D/W BLANK",160000,Each,,"0000-00-00 00:00:00",80,,2,0.01676,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"12/18/2019 8:16:05 am",A-00215,"Kelly Paper - Sacramento"
1936,E10WH-1W-SC-EAG,E,"#10 S/W WH STD EAGLE ",240000,Each,,"0000-00-00 00:00:00",120,,3,0.01594,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"12/18/2019 8:16:05 am",A-00215,"Kelly Paper - Sacramento"
1936,E10WH-2W-SC-BOX,E,"#10 D/W WH STD BOX",160000,Each,,"0000-00-00 00:00:00",80,,2,0.01704,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"12/18/2019 8:16:05 am",A-00215,"Kelly Paper - Sacramento"
1936,E10WH-2W-SC-EAG,E,"#10 D/W WH STD EAGLE",160000,Each,,"0000-00-00 00:00:00",80,,2,0.01704,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"12/18/2019 8:16:05 am",A-00215,"Kelly Paper - Sacramento"
1937,E10GR-1W-FC-BOX,E,"#10 S/W GREEN FC BOX 1935",200000,Each,,"0000-00-00 00:00:00",,,2,0.0215,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/27/2019 1:45:02 pm",A-00205,"Southland Envelopes - Sacramento "
1938,E10WH-1W,E,"#10 S/W WH BLANK",90000,Each,,"0000-00-00 00:00:00",,,1,0.0183,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other ","0000-00-00 00:00:00",,"11/21/2019 2:07:41 pm",A-00228,"Kelly Paper - Sacramento"
1939,E10WH-2W-FC1946M,E,"MONSTER #10 D/W WH FC 1946",24000,Each,,"0000-00-00 00:00:00",,,1,0.01765,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:05:05 am",A-00210,"Southland Envelopes - Sacramento "
1939,E10WH-2W-FC1946M,E,"MONSTER #10 D/W WH FC 1946",240000,Each,,"0000-00-00 00:00:00",,,3,0.01765,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:05:05 am",A-00210,"Southland Envelopes - Sacramento "
